size_band,total_firms,classified_firms,high_growth_firms,mean_aagr,high_growth_share
11–19,10890,5876,671,0.0028624746177945896,0.1141933287950987
20–49,10781,6389,643,-0.0019749018319204273,0.10064172796994834
50–249,5532,3609,333,-0.004170134301081218,0.09226932668329177
250+,1426,1045,65,0.0024507366218975415,0.06220095693779904
